comment_id,video_id,video_url,comment_url,text_original,author_name,author_img_url,author_channel_url,can_rate,viewer_rating,like_count,published_at,updated_at,crawled_date,crawled_time,can_reply,total_reply_count,is_public
UgztGyBkMNIONOeurqJ4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgztGyBkMNIONOeurqJ4AaABAg,El plastico con las chinchetas espirales es para proteger los sillones de los arañazos de los gatos y no es nada barato,SSA PhotoVídeos,https://yt3.ggpht.com/ytc/AAUvwnjy8U024aZIwYM54YJF7x2KxmGCDJFZ7aR6dw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClXA8mc_E7n8UFNgBkdrLnQ,True,none,0,2021-04-22T21:54:22Z,2021-04-22T21:54:22Z,2021-04-23,23:10:36,True,0,True
UgzMaapVB40t83xITkt4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgzMaapVB40t83xITkt4AaABAg,Es de un  corcho,Alina Benjumea trujillo,https://yt3.ggpht.com/ytc/AAUvwnjKqsdNtqoTXsjvSshbArHIQMtH-m-l-svaxg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCXr82eOSfsyHnqn49FzO7DA,True,none,0,2021-04-22T21:52:40Z,2021-04-22T21:52:40Z,2021-04-23,23:10:36,True,0,True
UgzX9OWdIxJLWkCTdkJ4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgzX9OWdIxJLWkCTdkJ4AaABAg,"<a href=""https://www.youtube.com/watch?v=q1lCEB683O8&amp;t=31m37s"">31:37</a> uooooo... Jajajajaja<br />Casi le vuela el dedo",Sergio CJ,https://yt3.ggpht.com/ytc/AAUvwnjPXYawrXewjfp17Z0kTBl3k024SHYTbi4egg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCx_Ed2UDZkoPIjjQxva2E8A,True,none,0,2021-04-22T21:51:31Z,2021-04-22T21:51:31Z,2021-04-23,23:10:36,True,0,True
UgyaaRQtFcuTHlzqm6d4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgyaaRQtFcuTHlzqm6d4AaABAg,Mike con los últimos juguetes se notaba su felicidad 💕,among us pd:soy niña,https://yt3.ggpht.com/ytc/AAUvwnhZqXRmOCr1JMhm5CK75kWAq9DwnYhj0ENozfcW_g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCLx36DrpcoyXNaTw3Fnmz4A,True,none,1,2021-04-22T21:50:54Z,2021-04-22T21:50:54Z,2021-04-23,23:10:36,True,0,True
Ugxo8GvJeHar8PT_AJt4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugxo8GvJeHar8PT_AJt4AaABAg,Tecnológicas 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱,Maria Rodas de Diaz,https://yt3.ggpht.com/ytc/AAUvwngYbPJYzSA03fDCuj16MvHn_WM3kSi4Fws5_g=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCw0ege39rmzlBV1b2VKtfAQ,True,none,0,2021-04-22T21:50:44Z,2021-04-22T21:50:44Z,2021-04-23,23:10:36,True,0,True
UgywkZ8O6Td2NkkHGi14AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgywkZ8O6Td2NkkHGi14AaABAg,Compra compra. Es divertido,María Canaria,https://yt3.ggpht.com/ytc/AAUvwnhi_6lMOuXD5tCZRtnAn3CJ1toO6pbSb8p5KceOOQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCKIVPgNbVsaXgFn_S84dzPA,True,none,0,2021-04-22T21:50:21Z,2021-04-22T21:50:21Z,2021-04-23,23:10:36,True,0,True
UgzCHlE1Hl-MtnBVoXZ4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgzCHlE1Hl-MtnBVoXZ4AaABAg,eso es saca corcho,alejo666,https://yt3.ggpht.com/ytc/AAUvwnjEO2HsjxB23AGR7QhwdAvOtiv90Ng95bobNg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UClzHI-MdKZlByY7Sn9bipsQ,True,none,0,2021-04-22T21:50:06Z,2021-04-22T21:50:06Z,2021-04-23,23:10:36,True,0,True
Ugw3F1qenlgJH1T-hMZ4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugw3F1qenlgJH1T-hMZ4AaABAg,"<a href=""https://www.youtube.com/watch?v=q1lCEB683O8&amp;t=3m00s"">3:00</a> el mono a la derech",BartoPlays,https://yt3.ggpht.com/ytc/AAUvwngKO4FflCDubFIvAB3pXFprAs9ANavGmv7n-qqT=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCFEDsU8k7xaPgcgFasrpoew,True,none,0,2021-04-22T21:50:02Z,2021-04-22T21:50:02Z,2021-04-23,23:10:36,True,0,True
Ugxie1zIkrbGQApVO4B4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=Ugxie1zIkrbGQApVO4B4AaABAg,Me lo paso bomba contigo mike 😂😂❤️❤️,Vanessa Y. Dimaano,https://yt3.ggpht.com/ytc/AAUvwnjVrQLwmnH7TDB9vPQ_tw_fz-KbM8kL_9fpvLxYtA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCRatjfJFvKenXH2F_-Ingkg,True,none,0,2021-04-22T21:49:44Z,2021-04-22T21:49:44Z,2021-04-23,23:10:36,True,0,True
UgwP7it4zM9Wwk_rJhh4AaABAg,q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8,https://www.youtube.com/watch?v=q1lCEB683O8&lc=UgwP7it4zM9Wwk_rJhh4AaABAg,Echaba de menos estos tipos de vídeos de abriendo cajas un saludo grande,Lisa Lopez,https://yt3.ggpht.com/ytc/AAUvwngGSJI7Xjg1VWzvWtAmToNIOQ9CrY8yal7g6Q=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCzdLiuYdlJUG4AzU9fNVGbg,True,none,1,2021-04-22T21:49:34Z,2021-04-22T21:49:34Z,2021-04-23,23:10:36,True,0,True
